"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","467","checkLoginWithEmptyPassword","Surefire suite","Wed Jun 25 17:33:33 GMT 2025","failed","Wed Jun 25 17:33:33 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyPassword"
"","10461","checkCart","Surefire suite","Wed Jun 25 17:33:36 GMT 2025","broken","Wed Jun 25 17:33:46 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkCart"
"","850","Проверка добавления 4 товаров в корзину","Surefire suite","Wed Jun 25 17:32:58 GMT 2025","passed","Wed Jun 25 17:32:59 GMT 2025","tests.ProductsTest","Surefire test","tests.ProductsTest","addFourProductsToCart"
"","471","checkLoginWithWrongPassword","Surefire suite","Wed Jun 25 17:33:35 GMT 2025","failed","Wed Jun 25 17:33:35 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithWrongPassword"
"","655","checkSort","Surefire suite","Wed Jun 25 17:32:56 GMT 2025","passed","Wed Jun 25 17:32:57 GMT 2025","tests.SortTest","Surefire test","tests.SortTest","checkSort"
"","677","checkSort","Surefire suite","Wed Jun 25 17:32:57 GMT 2025","passed","Wed Jun 25 17:32:58 GMT 2025","tests.SortTest","Surefire test","tests.SortTest","checkSort"
"","454","checkLoginWithEmptyUsername","Surefire suite","Wed Jun 25 17:33:34 GMT 2025","passed","Wed Jun 25 17:33:34 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyUsername"
"","10458","checkSuccessLogin","Surefire suite","Wed Jun 25 17:33:22 GMT 2025","broken","Wed Jun 25 17:33:32 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkSuccessLogin"
"","10494","checkProductsPrice","Surefire suite","Wed Jun 25 17:33:58 GMT 2025","broken","Wed Jun 25 17:34:08 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkProductsPrice"
"","10447","addToCart","Surefire suite","Wed Jun 25 17:33:47 GMT 2025","broken","Wed Jun 25 17:33:57 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","addToCart"
"","643","checkSort","Surefire suite","Wed Jun 25 17:32:55 GMT 2025","passed","Wed Jun 25 17:32:56 GMT 2025","tests.SortTest","Surefire test","tests.SortTest","checkSort"
"","1917","checkSort","Surefire suite","Wed Jun 25 17:32:53 GMT 2025","passed","Wed Jun 25 17:32:55 GMT 2025","tests.SortTest","Surefire test","tests.SortTest","checkSort"
