"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","579","checkSort","Surefire suite","Wed Jun 25 15:27:36 GMT 2025","passed","Wed Jun 25 15:27:36 GMT 2025","tests.SortTest","Surefire test","tests.SortTest","checkSort"
"","11773","checkLocator","Surefire suite","Wed Jun 25 15:27:21 GMT 2025","broken","Wed Jun 25 15:27:33 GMT 2025","tests.LocatorTest","Surefire test","tests.LocatorTest","checkLocator"
"","10428","checkProductsPrice","Surefire suite","Wed Jun 25 15:28:38 GMT 2025","broken","Wed Jun 25 15:28:49 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkProductsPrice"
"","584","checkSort","Surefire suite","Wed Jun 25 15:27:35 GMT 2025","passed","Wed Jun 25 15:27:35 GMT 2025","tests.SortTest","Surefire test","tests.SortTest","checkSort"
"","427","login","Surefire suite","Wed Jun 25 15:28:14 GMT 2025","passed","Wed Jun 25 15:28:14 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","login"
"","412","checkLoginWithWrongPassword","Surefire suite","Wed Jun 25 15:28:16 GMT 2025","failed","Wed Jun 25 15:28:16 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithWrongPassword"
"","732","Проверка добавления 4 товаров в корзину","Surefire suite","Wed Jun 25 15:27:38 GMT 2025","passed","Wed Jun 25 15:27:38 GMT 2025","tests.ProductsTest","Surefire test","tests.ProductsTest","addFourProductsToCart"
"","441","login","Surefire suite","Wed Jun 25 15:28:11 GMT 2025","failed","Wed Jun 25 15:28:12 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","login"
"","428","login","Surefire suite","Wed Jun 25 15:28:12 GMT 2025","failed","Wed Jun 25 15:28:13 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","login"
"","10428","checkSuccessLogin","Surefire suite","Wed Jun 25 15:28:00 GMT 2025","broken","Wed Jun 25 15:28:11 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkSuccessLogin"
"","395","checkLoginWithEmptyPassword","Surefire suite","Wed Jun 25 15:28:15 GMT 2025","failed","Wed Jun 25 15:28:15 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyPassword"
"","953","checkSort","Surefire suite","Wed Jun 25 15:27:33 GMT 2025","passed","Wed Jun 25 15:27:34 GMT 2025","tests.SortTest","Surefire test","tests.SortTest","checkSort"
"","413","login","Surefire suite","Wed Jun 25 15:28:13 GMT 2025","passed","Wed Jun 25 15:28:13 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","login"
"","10442","addToCart","Surefire suite","Wed Jun 25 15:28:27 GMT 2025","broken","Wed Jun 25 15:28:38 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","addToCart"
"","620","checkSort","Surefire suite","Wed Jun 25 15:27:37 GMT 2025","passed","Wed Jun 25 15:27:37 GMT 2025","tests.SortTest","Surefire test","tests.SortTest","checkSort"
"","10423","checkCart","Surefire suite","Wed Jun 25 15:28:16 GMT 2025","broken","Wed Jun 25 15:28:27 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkCart"
