"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","checkSuccessLogin","Surefire suite","Wed Jun 25 15:49:36 GMT 2025","skipped","Wed Jun 25 15:49:36 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkSuccessLogin"
"","1","login","Surefire suite","Wed Jun 25 15:49:37 GMT 2025","skipped","Wed Jun 25 15:49:37 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","login"
"","1","checkSort","Surefire suite","Wed Jun 25 15:49:35 GMT 2025","skipped","Wed Jun 25 15:49:35 GMT 2025","tests.SortTest","Surefire test","tests.SortTest","checkSort"
"","1","Проверка добавления 4 товаров в корзину","Surefire suite","Wed Jun 25 15:49:36 GMT 2025","skipped","Wed Jun 25 15:49:36 GMT 2025","tests.ProductsTest","Surefire test","tests.ProductsTest","addFourProductsToCart"
"","0","login","Surefire suite","Wed Jun 25 15:49:37 GMT 2025","skipped","Wed Jun 25 15:49:37 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","login"
"","0","checkCart","Surefire suite","Wed Jun 25 15:49:38 GMT 2025","skipped","Wed Jun 25 15:49:38 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkCart"
"","0","checkLoginWithWrongPassword","Surefire suite","Wed Jun 25 15:49:38 GMT 2025","skipped","Wed Jun 25 15:49:38 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithWrongPassword"
"","0","checkProductsPrice","Surefire suite","Wed Jun 25 15:49:38 GMT 2025","skipped","Wed Jun 25 15:49:38 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkProductsPrice"
"","0","addToCart","Surefire suite","Wed Jun 25 15:49:38 GMT 2025","skipped","Wed Jun 25 15:49:38 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","addToCart"
"","0","setup","Surefire suite","Wed Jun 25 15:49:38 GMT 2025","broken","Wed Jun 25 15:49:38 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","setup"
"","0","checkSort","Surefire suite","Wed Jun 25 15:49:36 GMT 2025","skipped","Wed Jun 25 15:49:36 GMT 2025","tests.SortTest","Surefire test","tests.SortTest","checkSort"
"","0","setup","Surefire suite","Wed Jun 25 15:49:38 GMT 2025","broken","Wed Jun 25 15:49:38 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","setup"
"","0","checkSort","Surefire suite","Wed Jun 25 15:49:36 GMT 2025","skipped","Wed Jun 25 15:49:36 GMT 2025","tests.SortTest","Surefire test","tests.SortTest","checkSort"
"","1","setup","Surefire suite","Wed Jun 25 15:49:36 GMT 2025","broken","Wed Jun 25 15:49:36 GMT 2025","tests.ProductsTest","Surefire test","tests.ProductsTest","setup"
"","0","setup","Surefire suite","Wed Jun 25 15:49:36 GMT 2025","broken","Wed Jun 25 15:49:36 GMT 2025","tests.SortTest","Surefire test","tests.SortTest","setup"
"","1","login","Surefire suite","Wed Jun 25 15:49:37 GMT 2025","skipped","Wed Jun 25 15:49:37 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","login"
"","1","login","Surefire suite","Wed Jun 25 15:49:36 GMT 2025","skipped","Wed Jun 25 15:49:36 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","login"
"","1","checkLoginWithEmptyPassword","Surefire suite","Wed Jun 25 15:49:37 GMT 2025","skipped","Wed Jun 25 15:49:37 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyPassword"
"","0","checkSort","Surefire suite","Wed Jun 25 15:49:35 GMT 2025","skipped","Wed Jun 25 15:49:35 GMT 2025","tests.SortTest","Surefire test","tests.SortTest","checkSort"
