"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","448","login","Surefire suite","Wed Jun 25 15:51:31 GMT 2025","passed","Wed Jun 25 15:51:31 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","login"
"","629","checkSort","Surefire suite","Wed Jun 25 15:50:52 GMT 2025","passed","Wed Jun 25 15:50:52 GMT 2025","tests.SortTest","Surefire test","tests.SortTest","checkSort"
"","441","login","Surefire suite","Wed Jun 25 15:51:29 GMT 2025","failed","Wed Jun 25 15:51:29 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","login"
"","1412","checkSort","Surefire suite","Wed Jun 25 15:50:50 GMT 2025","passed","Wed Jun 25 15:50:51 GMT 2025","tests.SortTest","Surefire test","tests.SortTest","checkSort"
"","10412","checkProductsPrice","Surefire suite","Wed Jun 25 15:51:56 GMT 2025","broken","Wed Jun 25 15:52:06 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkProductsPrice"
"","447","login","Surefire suite","Wed Jun 25 15:51:30 GMT 2025","failed","Wed Jun 25 15:51:30 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","login"
"","474","login","Surefire suite","Wed Jun 25 15:51:32 GMT 2025","passed","Wed Jun 25 15:51:32 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","login"
"","426","checkLoginWithEmptyPassword","Surefire suite","Wed Jun 25 15:51:32 GMT 2025","failed","Wed Jun 25 15:51:33 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyPassword"
"","10398","addToCart","Surefire suite","Wed Jun 25 15:51:45 GMT 2025","broken","Wed Jun 25 15:51:56 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","addToCart"
"","10404","checkCart","Surefire suite","Wed Jun 25 15:51:34 GMT 2025","broken","Wed Jun 25 15:51:45 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkCart"
"","633","checkSort","Surefire suite","Wed Jun 25 15:50:54 GMT 2025","passed","Wed Jun 25 15:50:54 GMT 2025","tests.SortTest","Surefire test","tests.SortTest","checkSort"
"","447","checkLoginWithWrongPassword","Surefire suite","Wed Jun 25 15:51:33 GMT 2025","failed","Wed Jun 25 15:51:34 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithWrongPassword"
"","793","Проверка добавления 4 товаров в корзину","Surefire suite","Wed Jun 25 15:50:55 GMT 2025","passed","Wed Jun 25 15:50:56 GMT 2025","tests.ProductsTest","Surefire test","tests.ProductsTest","addFourProductsToCart"
"","629","checkSort","Surefire suite","Wed Jun 25 15:50:53 GMT 2025","passed","Wed Jun 25 15:50:53 GMT 2025","tests.SortTest","Surefire test","tests.SortTest","checkSort"
"","10443","checkSuccessLogin","Surefire suite","Wed Jun 25 15:51:18 GMT 2025","broken","Wed Jun 25 15:51:28 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkSuccessLogin"
