"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","935","Проверка добавления 4 товаров в корзину","Surefire suite","Wed Jun 25 17:00:10 GMT 2025","passed","Wed Jun 25 17:00:11 GMT 2025","tests.ProductsTest","Surefire test","tests.ProductsTest","addFourProductsToCart"
"","10569","checkProductsPrice","Surefire suite","Wed Jun 25 17:01:11 GMT 2025","broken","Wed Jun 25 17:01:21 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkProductsPrice"
"","10557","checkSuccessLogin","Surefire suite","Wed Jun 25 17:00:34 GMT 2025","broken","Wed Jun 25 17:00:44 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkSuccessLogin"
"","1711","checkSort","Surefire suite","Wed Jun 25 17:00:05 GMT 2025","passed","Wed Jun 25 17:00:06 GMT 2025","tests.SortTest","Surefire test","tests.SortTest","checkSort"
"","561","checkLoginWithEmptyUsername","Surefire suite","Wed Jun 25 17:00:46 GMT 2025","passed","Wed Jun 25 17:00:47 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyUsername"
"","644","checkLoginWithEmptyPassword","Surefire suite","Wed Jun 25 17:00:45 GMT 2025","failed","Wed Jun 25 17:00:45 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithEmptyPassword"
"","776","checkSort","Surefire suite","Wed Jun 25 17:00:07 GMT 2025","passed","Wed Jun 25 17:00:07 GMT 2025","tests.SortTest","Surefire test","tests.SortTest","checkSort"
"","10582","addToCart","Surefire suite","Wed Jun 25 17:01:00 GMT 2025","broken","Wed Jun 25 17:01:10 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","addToCart"
"","1257","checkLoginWithWrongPassword","Surefire suite","Wed Jun 25 17:00:47 GMT 2025","failed","Wed Jun 25 17:00:48 GMT 2025","tests.LoginTest","Surefire test","tests.LoginTest","checkLoginWithWrongPassword"
"","791","checkSort","Surefire suite","Wed Jun 25 17:00:09 GMT 2025","passed","Wed Jun 25 17:00:10 GMT 2025","tests.SortTest","Surefire test","tests.SortTest","checkSort"
"","10564","checkCart","Surefire suite","Wed Jun 25 17:00:49 GMT 2025","broken","Wed Jun 25 17:00:59 GMT 2025","tests.CartTest","Surefire test","tests.CartTest","checkCart"
"","744","checkSort","Surefire suite","Wed Jun 25 17:00:08 GMT 2025","passed","Wed Jun 25 17:00:09 GMT 2025","tests.SortTest","Surefire test","tests.SortTest","checkSort"
